"Date","Price","Volume"
"2024-09-24 18:54:00 UTC+0","63787.99219396","12776130827.667465"
"2024-09-24 18:53:00 UTC+0","63803.76089467","12776718297.949640"
"2024-09-24 18:52:00 UTC+0","63804.73430076","12958384933.505920"
"2024-09-24 18:51:00 UTC+0","63789.40650087","12777795033.905724"
"2024-09-24 18:50:00 UTC+0","63798.33126742","12775252302.614475"
"2024-09-24 18:49:00 UTC+0","63816.99344038","12776444811.744140"
"2024-09-24 18:48:00 UTC+0","63799.34985509","12775699751.637394"
"2024-09-24 18:47:00 UTC+0","63818.16465730","12775182394.543201"
"2024-09-24 18:46:00 UTC+0","63829.44499167","13406677811.094414"
"2024-09-24 18:45:00 UTC+0","63840.41782766","13394429896.438416"
"2024-09-24 18:44:00 UTC+0","63841.67410441","13393623137.931845"
"2024-09-24 18:43:00 UTC+0","63833.52525270","13389168078.500011"
"2024-09-24 18:42:00 UTC+0","63847.85803344","13382031430.183920"
"2024-09-24 18:41:00 UTC+0","63850.28584525","13378446065.172955"
"2024-09-24 18:40:00 UTC+0","63827.18405393","13380204740.111849"
"2024-09-24 18:39:00 UTC+0","63807.69016591","13379311321.885578"
"2024-09-24 18:38:00 UTC+0","63825.54569011","13365177236.732864"
"2024-09-24 18:37:00 UTC+0","63826.19376428","13338602216.692310"
"2024-09-24 18:36:00 UTC+0","63756.92265668","13328468280.964046"
"2024-09-24 18:35:00 UTC+0","63687.34668394","13325586213.303532"
"2024-09-24 18:34:00 UTC+0","63654.80357612","13319295128.572996"
"2024-09-24 18:33:00 UTC+0","63662.15306139","13316826258.314672"
"2024-09-24 18:32:00 UTC+0","63634.59094270","13330224313.694649"
"2024-09-24 18:31:00 UTC+0","63640.21470356","13317030915.767689"
"2024-09-24 18:30:00 UTC+0","63745.82878693","13302723889.734278"
"2024-09-24 18:29:00 UTC+0","63751.06361973","13302315033.215235"
"2024-09-24 18:28:00 UTC+0","63776.24869130","13303932947.599213"
"2024-09-24 18:27:00 UTC+0","63787.58017712","13301239648.173985"
"2024-09-24 18:26:00 UTC+0","63799.17155568","13296383078.553741"
"2024-09-24 18:25:00 UTC+0","63792.15815527","13292641583.149242"
"2024-09-24 18:24:00 UTC+0","63780.79826417","13287505583.992006"
"2024-09-24 18:23:00 UTC+0","63755.87274445","13289320562.447310"
"2024-09-24 18:22:00 UTC+0","63747.18113852","13287599070.245853"
"2024-09-24 18:21:00 UTC+0","63763.51841780","13277416000.126684"
"2024-09-24 18:20:00 UTC+0","63765.12939279","13277082970.749802"
"2024-09-24 18:19:00 UTC+0","63717.74155669","13275724704.356531"
"2024-09-24 18:18:00 UTC+0","63730.60681155","13278203653.024387"
"2024-09-24 18:17:00 UTC+0","63743.89519617","13278210384.075014"
"2024-09-24 18:16:00 UTC+0","63727.64447800","13234760477.405090"
"2024-09-24 18:15:00 UTC+0","63734.49676182","13235312410.289127"
"2024-09-24 18:14:00 UTC+0","63755.02988599","13228012328.423412"
"2024-09-24 18:13:00 UTC+0","63789.19718913","13223663250.416925"
"2024-09-24 18:12:00 UTC+0","63772.60734271","13222952107.673754"
"2024-09-24 18:11:00 UTC+0","63773.32582452","13226437680.036993"
"2024-09-24 18:10:00 UTC+0","63809.43148204","13055890985.588982"
"2024-09-24 18:09:00 UTC+0","63837.19847276","13230538409.706083"
"2024-09-24 18:08:00 UTC+0","63859.97506233","13228163268.782543"
"2024-09-24 18:07:00 UTC+0","63869.36632639","13228870962.520214"
"2024-09-24 18:06:00 UTC+0","63869.22401238","13221469917.364101"
"2024-09-24 18:05:00 UTC+0","63867.42070591","13041299015.247816"
"2024-09-24 18:04:00 UTC+0","63841.77355332","13186699386.955430"
"2024-09-24 18:03:00 UTC+0","63832.69198210","13189968811.664940"
"2024-09-24 18:02:00 UTC+0","63794.14680277","13186617271.986555"
"2024-09-24 18:01:00 UTC+0","63836.95361590","13130736715.692568"
"2024-09-24 18:00:00 UTC+0","63839.68475624","13093541010.192257"
"2024-09-24 17:59:00 UTC+0","63927.48999754","12986418330.667875"
"2024-09-24 17:58:00 UTC+0","63840.73243463","12972128430.208567"
"2024-09-24 17:57:00 UTC+0","63826.47275995","12968792288.312860"
"2024-09-24 17:56:00 UTC+0","63820.80585889","12963037105.481560"
"2024-09-24 17:55:00 UTC+0","63825.73821482","12954620115.756168"
"2024-09-24 17:54:00 UTC+0","63820.30656244","12944775185.001787"
"2024-09-24 17:53:00 UTC+0","63792.51385314","12939457589.135283"
"2024-09-24 17:52:00 UTC+0","63782.45445314","12938704491.144217"
"2024-09-24 17:51:00 UTC+0","63762.89983324","12937021874.236910"
